#Please wait 3[s]#Please wait 2[s]#Please wait 1[s]#Please wait 0[s]
49.699097 -47.000000 -2.350987 -235.618195  0.081551 -0.080738  9.000000 -9.004327  0.000000
49.763870 -46.000000 118.274910 -237.952759  0.083031 -0.068588  9.000000 -8.994185  0.000000
49.849625 -41.000000 70.070412 -223.175156  0.086309 -0.045359  9.000000 -8.997176  0.000000
49.913872 -38.000000 93.340080 -209.496872  0.090802 -0.038262  9.000000 -8.995083  0.000000
49.999096 -36.000000 -51.952415 -198.584244  0.097215 -0.036088  8.000000 -8.090797  0.000000
50.063889 -32.000000  1.236150 -180.564362  0.104156 -0.026308  7.000000 -7.093492  0.000000
50.149120 -26.000000 -15.781593 -159.625900  0.110503 -0.002927  7.000000 -7.010620  0.000000
50.213905 -21.000000 77.524048 -140.668335  0.115419  0.014406  6.000000 -6.079672  0.000000
50.299129 -17.000000 39.323254 -121.406036  0.120576  0.022419  8.000000 -7.836869  0.000000
50.363880 -13.000000 57.664913 -100.111259  0.125701  0.027527  4.000000 -4.318315  0.000000
50.471489 -6.000000 -74.239243 -74.747116  0.134572  0.053431  6.000000 -5.865167  0.000000
50.576721  4.000000 -29.569670 -32.119408  0.132443  0.081239  2.000000 -2.326133  0.000000
50.661678  7.000000 -45.451511 -10.520769  0.139896  0.076184  2.000000 -2.030285  0.000000
50.706730  8.000000 50.836113 -1.861281  0.139802  0.073592  2.000000 -1.997212  0.000000
50.749138  8.000000 13.366052 -1.428877  0.137476  0.072977  2.000000 -1.998072  0.000000
50.791481  9.000000 28.508045  1.101091  0.135072  0.078216  1.000000 -1.080796  0.000000
50.877144 12.000000 -75.374969 10.662160  0.137924  0.091114  2.000000 -1.928673  0.000000
50.963871 14.000000 -36.182083 17.569042  0.140118  0.098942  3.000000 -2.911650  0.000000
51.029049 14.000000 -51.850853 20.468822  0.137266  0.094838  3.000000 -2.995536  0.000000
51.136753 12.000000 51.264763 15.609754  0.137926  0.084100  3.000000 -2.994315  0.000000
51.241543 12.000000 10.776860 16.334278  0.141177  0.083072  3.000000 -2.997936  0.000000
51.329056 11.000000 25.359579 15.687379  0.142531  0.075163  3.000000 -2.996886  0.000000
51.371479 10.000000 -65.693413 13.272363  0.142889  0.069758  3.000000 -3.004448  0.000000
51.436760 10.000000 -30.008791 12.982183  0.142555  0.070171  3.000000 -3.001712  0.000000
51.541927 11.000000 -43.339848 16.699123  0.140370  0.073726  3.000000 -3.002726  0.000000
51.649246 11.000000 40.652100 21.024658  0.139395  0.067577  3.000000 -2.996386  0.000000
51.736767 13.000000  6.201363 25.701393  0.141571  0.078603  4.000000 -3.914252  0.000000
51.801521 17.000000 21.555805 39.389977  0.140258  0.094461  3.000000 -3.073620  0.000000
51.887234 22.000000 -90.736641 59.087067  0.146404  0.110568  3.000000 -3.012316  0.000000
51.951599 27.000000 -49.889683 74.344612  0.148825  0.132853  3.000000 -3.002383  0.000000
52.056774 35.000000 -60.932846 105.845314  0.147380  0.158368  2.000000 -2.085761  0.000000
52.143871 38.000000 -0.578965 120.705772  0.147553  0.163649  7.000000 -6.584026  0.000000
52.209583 42.000000 -27.418173 141.499588  0.146793  0.169316  0.000000 -0.550961  0.000000
52.293873 44.000000 -17.113466 143.411224  0.140200  0.183887 12.000000 -11.036634  0.000000
52.401520 46.000000 -90.692825 145.855316  0.138481  0.197649 20.000000 -19.251316  0.000000
52.466713 50.000000 -64.869766 170.897873  0.137689  0.197416  5.000000 -6.196754  0.000000
52.573887 48.000000 -77.611458 164.063843  0.137893  0.189708 10.000000 -9.682990  0.000000
52.659119 52.000000 -9.740918 190.912750  0.136290  0.186985  1.000000 -1.725070  0.000000
52.701511 51.000000 -36.499634 187.112076  0.137843  0.183648  4.000000 -3.808240  0.000000
52.766727 50.000000 -28.428339 185.024979  0.139805  0.177937  2.000000 -2.150159  0.000000
52.874321 50.000000 -83.487831 186.024948  0.148379  0.176553  1.000000 -1.099435  0.000000
52.959278 51.000000 -62.757175 192.482498  0.150502  0.176222 -4.000000  3.571238  0.000000
53.023895 49.000000 -72.906555 180.577499  0.150752  0.175486  6.000000 -5.198702  0.000000
53.131496 50.000000 -12.307443 190.044586  0.150045  0.170983  1.000000 -1.349169  0.000000
53.217209 51.000000 -37.415565 198.897110  0.150591  0.167326 -3.000000  2.635879  0.000000
53.281521 50.000000 -29.634718 192.947525  0.151688  0.166953  2.000000 -1.609421  0.000000
53.366730 50.000000 -81.691330 194.128677  0.154149  0.165312  3.000000 -2.885988  0.000000
53.431496 49.000000 -60.805771 192.970428  0.152566  0.158271  2.000000 -2.075038  0.000000
53.539577 46.000000 -71.693466 189.807602  0.148557  0.136618 -2.000000  1.655687  0.000000
53.623878 41.000000  8.636052 169.004547  0.150875  0.122165 -2.000000  1.974953  0.000000
53.689056 38.000000 -21.496319 154.060959  0.150696  0.116939 -1.000000  1.082632  0.000000
53.773872 30.000000 -15.973939 123.612617  0.145956  0.089666  1.000000 -0.824608  0.000000
53.839016 22.000000 -31.523849 98.604607  0.141074  0.054513  2.000000 -1.902734  0.000000
53.944313  8.000000 -16.305479 44.412323  0.136157  0.007619  4.000000 -3.825162  0.000000
54.029152  3.000000 -25.125561 15.603246  0.130337  0.004359  5.000000 -4.903637  0.000000
54.073895 -2.000000 45.161060 -17.719606  0.124407  0.007547 10.000000 -9.568953  0.000000
54.139042 -3.000000 18.020027 -19.491993  0.116188  0.001196  6.000000 -6.298540  0.000000
54.181526 -7.000000 25.901773 -31.530558  0.109510 -0.017137  7.000000 -6.939714  0.000000
54.247280 -14.000000 -5.574584 -56.120628  0.106457 -0.044164  7.000000 -6.996868  0.000000
54.353889 -24.000000 13.679102 -101.480949  0.110701 -0.068119  7.000000 -7.000739  0.000000
54.439087 -26.000000  6.110422 -116.654198  0.106139 -0.064226  8.000000 -7.918194  0.000000
54.503872 -28.000000 62.295635 -124.452591  0.103822 -0.070822  9.000000 -8.906480  0.000000
54.611568 -36.000000 45.544743 -149.583023  0.102685 -0.105710  9.000000 -8.991640  0.000000
54.696785 -40.000000 50.376873 -167.090286  0.103697 -0.116104  9.000000 -8.998566  0.000000
54.761490 -40.000000 22.376637 -175.414825  0.103182 -0.104355  9.000000 -9.001457  0.000000
54.869064 -38.000000 32.668121 -172.055923  0.100052 -0.091512  9.000000 -9.000350  0.000000
54.953903 -40.000000 28.686852 -178.150803  0.098322 -0.100488  9.000000 -9.000775  0.000000
55.019096 -41.000000 59.763367 -177.742554  0.099153 -0.109850  9.000000 -8.998341  0.000000
55.103897 -42.000000 48.522652 -186.943619  0.098409 -0.105638  8.000000 -8.083365  0.000000
55.169079 -39.000000 55.980457 -175.167542  0.099449 -0.095911  8.000000 -8.005672  0.000000
55.254330 -38.000000  8.283235 -172.924927  0.103198 -0.090280  8.000000 -8.002784  0.000000
55.319279 -37.000000 27.014675 -167.376465  0.103460 -0.089331  8.000000 -8.000609  0.000000
55.426769 -33.000000 23.721058 -155.701508  0.105012 -0.070598  7.000000 -7.084358  0.000000
55.533871 -25.000000 26.474194 -129.187668  0.104290 -0.037509  5.000000 -5.174229  0.000000
55.619160 -19.000000 21.759863 -103.648979  0.104935 -0.020708  4.000000 -4.097886  0.000000
55.683880 -15.000000 26.803362 -88.144829  0.107713 -0.007327  5.000000 -4.923131  0.000000
55.769047 -7.000000 -24.946262 -50.750557  0.116302  0.010318  2.000000 -2.247776  0.000000
55.811504 -3.000000 -6.857219 -34.159019  0.119599  0.022145  2.000000 -2.021137  0.000000
